date,基金
2023-11-09,-0.01750727499377959
2023-11-10,0.008958553996729825
2023-11-13,-0.006709867874792516
2023-11-14,0.026109341216057937
2023-11-15,0.01135145583558815
2023-11-16,-0.01655550403703286
2023-11-17,0.0084104320816475
2023-11-20,0.012847874547630016
2023-11-21,-0.00782703201383247
2023-11-22,-0.0009996235856208563
2023-11-24,0.002133542843289916
2023-11-27,-0.002033787256318775
2023-11-28,0.012450838363225216
2023-11-29,0.0031164730801001538
2023-11-30,2.7081568023522512e-05
2023-12-01,0.01438100326987789
2023-12-04,-0.010788053260239778
2023-12-05,-0.010344243859050011
2023-12-06,-0.003838954638986641
2023-12-07,-0.0017851205582693787
2023-12-08,0.009356230421011196
2023-12-11,0.007819998659774358
2023-12-12,-0.004251294255107392
2023-12-13,0.010147586130330547
2023-12-14,0.009819194579954196
2023-12-15,-0.006176986479771644
2023-12-18,0.007676063543064351
2023-12-19,0.00770898888642466
2023-12-20,-0.017041466910174313
2023-12-21,0.014081106179562947
2023-12-22,-0.003727427915221487
2023-12-27,0.0012916933584905617
2023-12-28,0.008489838624507626
2023-12-29,-0.005949526135694043
2024-01-02,-0.0195762317498542
2024-01-03,-0.014073756237704703
2024-01-04,-0.008079940615454181
2024-01-05,-0.008299835256754791
2024-01-08,0.011638302660365736
2024-01-09,-0.0026319850332522376
2024-01-10,0.0008316365972751288
2024-01-11,0.004433089474318974
2024-01-12,-0.006996228874955851
2024-01-16,-0.004192515077217196
2024-01-17,-0.013182438792013914
2024-01-18,0.00857501628120482
2024-01-19,0.007736306955780353
2024-01-22,-0.0033539331115132105
2024-01-23,0.0035557301630738253
2024-01-24,-0.001492824006876969
2024-01-25,0.008002289164282798
2024-01-26,-0.010603245797503368
2024-01-29,0.00215175460595773
2024-01-30,-0.017701489127982896
2024-01-31,-0.032497700246363004
2024-02-01,0.01100212111042312
2024-02-02,-0.008329295227011917
2024-02-05,-0.004419849923232936
2024-02-06,0.03285456140842549
2024-02-07,0.014526008781344786
2024-02-08,0.011947528118243681
2024-02-20,-0.007456645266825432
2024-02-21,-0.006460984560128244
2024-02-22,0.0123803721854034
2024-02-23,0.0034529616336444547
2024-02-26,0.003288657380883452
2024-02-27,0.015103871398109703
2024-02-28,-0.007607450611249542
2024-02-29,0.015210168844374438
2024-03-01,0.009790905844427458
2024-03-04,0.008159592167032695
2024-03-05,-0.01713957165077435
2024-03-06,0.0032863596162224637
2024-03-07,-0.010146254004013394
2024-03-08,0.0011990488978243117
2024-03-11,0.008756307696379376
2024-03-12,0.013089888732444776
