date,股票
2023-11-09,0.001720903960500635
2023-11-10,0.0033252836825016074
2023-11-13,0.003633038455896877
2023-11-14,0.01607946098724157
2023-11-15,0.005383287533132122
2023-11-16,-0.0008968087601191528
2023-11-17,0.004215279826937986
2023-11-20,0.004467706090454793
2023-11-21,-0.0019027566087690558
2023-11-22,0.0035753025943461598
2023-11-24,0.0021478995746357886
2023-11-27,-0.0028995881191922483
2023-11-28,0.000391821723504635
2023-11-29,0.0018451281836728527
2023-11-30,0.003402655683883214
2023-12-01,0.006166830692572577
2023-12-04,-0.0029838752173509493
2023-12-05,0.0031950459778561863
2023-12-06,0.0014390191296127478
2023-12-07,0.002270359497283156
2023-12-08,0.007437670152695792
2023-12-11,0.003399963532855223
2023-12-12,0.002046511518763606
2023-12-13,0.005626329579441671
2023-12-14,0.0038448191340666174
2023-12-15,-0.0010293405952320686
2023-12-18,-0.00039807416981579424
2023-12-19,0.004355355015202135
2023-12-20,-0.006777182654904646
2023-12-21,0.0036349209803737226
2023-12-22,0.0001644125679743486
2023-12-27,0.004837082542334283
2023-12-28,-0.0002847885816802079
2023-12-29,-0.0005713065837477709
2024-01-02,-0.004054915121101731
2024-01-03,-0.01132998453928774
2024-01-04,0.0012122946811519931
2024-01-05,-0.000581298828626199
2024-01-08,0.008585500678184645
2024-01-09,-0.002849757055180318
2024-01-10,0.002554915691246597
2024-01-11,-0.0025007650408110835
2024-01-12,0.004308660880804469
2024-01-16,-0.006353441042177475
2024-01-17,-0.008660004826461745
2024-01-18,0.009586003677061286
2024-01-19,0.006175293604727924
2024-01-22,0.0037108566226870176
2024-01-23,0.0003523395341869023
2024-01-24,0.011459215849101737
2024-01-25,0.0048190910247099565
2024-01-26,0.004451178385327801
2024-01-29,0.004493850171960206
2024-01-30,0.0012177671996712572
2024-01-31,-0.009448692315644654
2024-02-01,0.005685953183706427
2024-02-02,0.006983578385092458
2024-02-05,-0.002008467425655018
2024-02-06,0.006080554395527005
2024-02-07,0.0029633533712310795
2024-02-08,0.0029500940607523176
2024-02-20,0.004879710862913527
2024-02-21,0.0019816906638005123
2024-02-22,0.018024036999429335
2024-02-23,0.0018588206609313359
2024-02-26,-0.0027995015467113162
2024-02-27,0.003143659042355931
2024-02-28,-0.0014491669136831031
2024-02-29,0.0012953431698372272
2024-03-01,0.006290520807214851
2024-03-04,0.0015814497512655265
2024-03-05,-0.007166493884011643
2024-03-06,0.0049201820193683354
2024-03-07,0.010286175385645092
2024-03-08,-0.0035467292449924007
2024-03-11,-0.0030824664732376386
2024-03-12,0.010650635575433599
2024-03-13,0.0006676385448475011
